paper_role,dataset_id,dataset_name,fold,requested_scope,checkpoint_type,checkpoint_path,checkpoint_exists,size_bytes,mtime,sha256,training_log,training_cases,validation_cases,training_done,validation_complete,prediction_metadata_dataset_hits,prediction_metadata_explicit_checkpoint_hits,prediction_metadata_paths,explicit_checkpoint_metadata_paths,trainer_configuration,selection_basis,paper_checkpoint_role,used_for_reported_result,best_checkpoint_used,result_usage,correction_status,checkpoint_training_complete,post_training_validation_export_recorded
D175_paired_filtering,175,Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248473200,2026-05-30T11:20:22,fe30cfde114f97af9f462e87077c84e8ef1fccb8112fa8b48e6d4f4505856700,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_5_29_08_59_24.txt,57,16,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold4_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold3_notta_official/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,paired D175-D129 fold comparison; member of D175 external five-fold ensemble,not applicable,True,True
D175_paired_filtering,175,Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42,1,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,True,248473264,2026-05-29T21:03:36,3a248415f1608dd581f43c3ca5b4a81fdd8dcabbb9535b6abce97decff752aba,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/training_log_2026_5_28_18_30_21.txt,55,16,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold4_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold3_notta_official/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,paired D175-D129 fold comparison; member of D175 external five-fold ensemble,not applicable,True,True
D175_paired_filtering,175,Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42,2,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,True,248473008,2026-06-04T23:14:23,e1857771efb4c62a9ca37051b851fa20448c982287176bc9893eb416bb87134d,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/training_log_2026_6_4_09_41_00.txt,56,16,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold4_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold3_notta_official/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,paired D175-D129 fold comparison; member of D175 external five-fold ensemble,not applicable,True,True
D175_paired_filtering,175,Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42,3,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,True,248474288,2026-07-01T14:28:13,cb743abbb0c3e07c3647f27e26659c87f21fb217232edf030ffdb2cbb0ea409d,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/training_log_2026_6_30_15_09_08.txt,57,15,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold4_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold3_notta_official/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,paired D175-D129 fold comparison; member of D175 external five-fold ensemble,corrected paired split checkpoint retrained 2026-06-30,True,True
D175_paired_filtering,175,Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42,4,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/checkpoint_final.pth,True,248473008,2026-07-01T14:34:43,4543e31e84315323db50b2e6c5b1daafe9afe584d6b4f75add5ca090e67a8489,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset175_VerSe19Pseudo70TrainConfFilterPaired129_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/training_log_2026_6_30_15_09_08.txt,59,15,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold4_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_fold3_notta_official/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,paired D175-D129 fold comparison; member of D175 external five-fold ensemble,corrected paired split checkpoint retrained 2026-06-30,True,True
D162_5pct_SSL,162,Dataset162_VerSe19Labeled04Pseudo70_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248474127,2026-05-10T06:49:04,2ea2f7710cbf85da1058ec52511fbf94a9808243f410eec83b311cd287f94f3e,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_5_9_11_19_07.txt,59,15,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D162 five-fold ensemble,not applicable,True,True
D162_5pct_SSL,162,Dataset162_VerSe19Labeled04Pseudo70_seed42,1,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,True,248473392,2026-05-26T00:49:51,ae2fe1e2262bc07b3a7da2d036af072aa0eb18a89c8814228c182bb5b35dcd1f,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/training_log_2026_5_24_22_38_46.txt,59,15,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D162 five-fold ensemble,not applicable,True,True
D162_5pct_SSL,162,Dataset162_VerSe19Labeled04Pseudo70_seed42,2,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,True,248473712,2026-05-31T16:43:50,af42a7b729bcc9a06cd1634e5842955204f8c08c481b547b834de366a3e64a9a,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/training_log_2026_5_30_12_41_24.txt,59,15,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D162 five-fold ensemble,not applicable,True,True
D162_5pct_SSL,162,Dataset162_VerSe19Labeled04Pseudo70_seed42,3,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,True,248473968,2026-05-31T16:28:40,7de665389f24ab264c77cc4a87f9dfb83bbb4f5b573333b454e70392ad05c7d3,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/training_log_2026_5_30_12_41_24.txt,59,15,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D162 five-fold ensemble,not applicable,True,True
D162_5pct_SSL,162,Dataset162_VerSe19Labeled04Pseudo70_seed42,4,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/checkpoint_final.pth,True,248473072,2026-06-01T22:44:35,fd9828fe7e3e7f368ae68361107985f94a47460f09e744a56047431c354b1c0a,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset162_VerSe19Labeled04Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/training_log_2026_5_31_18_42_54.txt,60,14,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D162 five-fold ensemble,not applicable,True,True
D161_20pct_SSL,161,Dataset161_VerSe19Labeled16Pseudo70_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248473712,2026-05-20T17:55:49,0083e9c444dde2dd8d7db9a0a0637d9d6747841346687d1211fd58506a76eb41,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_5_19_15_39_20.txt,62,16,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,three-fold supporting result,not applicable,True,True
D161_20pct_SSL,161,Dataset161_VerSe19Labeled16Pseudo70_seed42,1,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,True,248473136,2026-05-22T03:50:45,f925b6262687a27530ff3d2452e7ccaa86fb2edd02edc3bafff2598e3fb9ffb8,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/training_log_2026_5_21_10_01_09.txt,62,16,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,three-fold supporting result,not applicable,True,True
D161_20pct_SSL,161,Dataset161_VerSe19Labeled16Pseudo70_seed42,2,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,True,248473392,2026-06-06T02:21:38,781ae4ea6b9e6af863fa603fa60370e3bb57a255de62e455733c864c113adcb4,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset161_VerSe19Labeled16Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/training_log_2026_6_4_23_19_12.txt,62,16,True,True,0,0,,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,three-fold supporting result,not applicable,True,True
D134_historical_fold0,134,Dataset134_VerSe19Pseudo63Conf080_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset134_VerSe19Pseudo63Conf080_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248511453,2026-04-08T13:15:37,dcb98315797e48614fbe50ee77284a64c601c70fd87fe36e43a67be407229e88,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset134_VerSe19Pseudo63Conf080_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_4_7_19_50_28.txt,56,15,True,True,11,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset140_refresh_v2_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset141_voxel_refine_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset177_vertignore_strict_fold0_notta_official/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset134_curriculum_8to44to63_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset143_anat_quality_top60_fold0_best_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset140_refresh_v2_fold0_best_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset134_caseweighted_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset134_pseudo63conf080_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset141_voxel_refine_fold0_best_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset143_anat_quality_top60_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset142_anat_quality_top63_fold0_best_raw/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,"standard nnUNetTrainer checkpoint corresponding to dataset134_pseudo63conf080_fold0_official; anatomy-order, loss-weighting, 750-epoch/curriculum and case-weighted variants excluded",final,True,False,historical fold0 intervention result,not applicable,True,True
D132_5pct_supervised_only,132,Dataset132_VerSe19Labeled04_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset132_VerSe19Labeled04_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248509981,2026-04-05T06:36:24,66967cb4d4dfe4c35f54883e6b6036f1f75f5e1ab5c24321f6aa4117fd73f0fb,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset132_VerSe19Labeled04_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_4_4_14_24_30.txt,3,1,True,True,1,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset132_labeled04_fold0_raw/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,supervised-only fold0 reference,not applicable,True,True
D128_10pct_supervised_only,128,Dataset128_VerSe19Labeled08_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset128_VerSe19Labeled08_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248522717,2026-03-29T09:59:13,7374320993f3cd1c6e16ef1c6c7d11c198d0b9be1318a3cf97dd73ef864b7416,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset128_VerSe19Labeled08_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_3_28_19_32_08.txt,6,2,True,True,1,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset128_labeled08_fold0_raw/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,supervised-only fold0 reference,not applicable,True,True
