case_id,num_labels,total_foreground_voxels,longest_run,gap_count,tiny_labels,tiny_fraction,mean_largest_cc_ratio,max_components_per_label,coverage_score,run_score,continuity_score,component_score,size_score,final_score,labels,mask_path
sub-verse407_split-verse262,21,312463,21,0,1,0.047619,0.973516,12,1.0,1.0,1.0,0.973516,0.952381,0.989941,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse407_split-verse262.nii.gz
sub-verse064,19,302857,19,0,1,0.052632,0.969321,3,1.0,1.0,1.0,0.969321,0.947368,0.988601,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse064.nii.gz
sub-verse410_split-verse267,18,498609,18,0,0,0.0,0.936477,28,1.0,1.0,1.0,0.936477,1.0,0.987295,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse410_split-verse267.nii.gz
sub-verse135,20,614485,20,0,2,0.1,0.98106,3,1.0,1.0,1.0,0.98106,0.9,0.986212,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,pseudo_masks/sub-verse135.nii.gz
sub-verse082,19,956045,19,0,1,0.052632,0.952024,11,1.0,1.0,1.0,0.952024,0.947368,0.985142,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,pseudo_masks/sub-verse082.nii.gz
sub-verse151,18,828763,18,0,1,0.055556,0.953407,24,1.0,1.0,1.0,0.953407,0.944444,0.985126,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse151.nii.gz
sub-verse004,9,201496,9,0,0,0.0,1.0,1,0.9,1.0,1.0,1.0,1.0,0.985,16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse004.nii.gz
sub-verse068,9,155027,9,0,0,0.0,0.999987,2,0.9,1.0,1.0,0.999987,1.0,0.984997,16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse068.nii.gz
sub-verse405_split-verse212,9,76526,9,0,0,0.0,0.999953,3,0.9,1.0,1.0,0.999953,1.0,0.984991,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse405_split-verse212.nii.gz
sub-verse403_split-verse208,9,105883,9,0,0,0.0,0.999952,4,0.9,1.0,1.0,0.999952,1.0,0.98499,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse403_split-verse208.nii.gz
sub-verse401_split-verse201,9,134175,9,0,0,0.0,0.999936,3,0.9,1.0,1.0,0.999936,1.0,0.984987,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse401_split-verse201.nii.gz
sub-verse409_split-verse226,9,170169,9,0,0,0.0,0.99986,5,0.9,1.0,1.0,0.99986,1.0,0.984972,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse409_split-verse226.nii.gz
sub-verse100,12,517192,12,0,1,0.083333,0.966118,9,1.0,1.0,1.0,0.966118,0.916667,0.98489,14 15 16 17 18 19 20 21 22 23 24 25,pseudo_masks/sub-verse100.nii.gz
sub-verse408_split-verse223,9,129664,9,0,0,0.0,0.998972,7,0.9,1.0,1.0,0.998972,1.0,0.984794,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse408_split-verse223.nii.gz
sub-verse413_split-verse239,13,168601,13,0,1,0.076923,0.961492,10,1.0,1.0,1.0,0.961492,0.923077,0.984606,1 2 3 4 5 6 7 8 9 10 11 12 13,pseudo_masks/sub-verse413_split-verse239.nii.gz
sub-verse133,11,405782,11,0,1,0.090909,0.9666,2,1.0,1.0,1.0,0.9666,0.909091,0.984229,14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse133.nii.gz
sub-verse409_split-verse266,20,744246,20,0,2,0.1,0.969326,15,1.0,1.0,1.0,0.969326,0.9,0.983865,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,pseudo_masks/sub-verse409_split-verse266.nii.gz
sub-verse043,18,311115,18,0,2,0.111111,0.962953,5,1.0,1.0,1.0,0.962953,0.888889,0.98148,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse043.nii.gz
sub-verse145,20,607934,19,1,2,0.1,0.999971,4,1.0,1.0,0.947368,0.999971,0.9,0.979468,2 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse145.nii.gz
sub-verse207,9,51797,9,0,0,0.0,0.960555,9,0.9,1.0,1.0,0.960555,1.0,0.977111,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse207.nii.gz
sub-verse411_split-verse270,22,508318,20,1,3,0.136364,0.998089,3,1.0,1.0,0.952381,0.998089,0.863636,0.976458,1 2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse411_split-verse270.nii.gz
sub-verse034,10,156811,10,0,2,0.2,0.971401,6,1.0,1.0,1.0,0.971401,0.8,0.97428,15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse034.nii.gz
sub-verse410_split-verse227,9,96525,9,0,1,0.111111,0.999889,4,0.9,1.0,1.0,0.999889,0.888889,0.973867,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse410_split-verse227.nii.gz
sub-verse405_split-verse258,17,216739,17,0,2,0.117647,0.924359,15,1.0,1.0,1.0,0.924359,0.882353,0.973107,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,pseudo_masks/sub-verse405_split-verse258.nii.gz
sub-verse415_split-verse243,9,79368,9,0,1,0.111111,0.993464,2,0.9,1.0,1.0,0.993464,0.888889,0.972582,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse415_split-verse243.nii.gz
sub-verse061,9,198653,9,0,1,0.111111,0.990741,2,0.9,1.0,1.0,0.990741,0.888889,0.972037,16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse061.nii.gz
sub-verse402_split-verse202,8,81213,8,0,0,0.0,1.0,1,0.8,1.0,1.0,1.0,1.0,0.97,1 2 3 4 5 6 7 8,pseudo_masks/sub-verse402_split-verse202.nii.gz
sub-verse107,8,321930,8,0,0,0.0,0.985758,9,0.8,1.0,1.0,0.985758,1.0,0.967152,17 18 19 20 21 22 23 24,pseudo_masks/sub-verse107.nii.gz
sub-verse411_split-verse232,9,85968,9,0,1,0.111111,0.933981,5,0.9,1.0,1.0,0.933981,0.888889,0.960685,1 2 3 4 5 6 7 8 9,pseudo_masks/sub-verse411_split-verse232.nii.gz
sub-verse111,8,318780,8,0,0,0.0,0.943744,5,0.8,1.0,1.0,0.943744,1.0,0.958749,17 18 19 20 21 22 23 24,pseudo_masks/sub-verse111.nii.gz
sub-verse403_split-verse255,21,497045,19,2,2,0.095238,0.940973,16,1.0,1.0,0.9,0.940973,0.904762,0.958671,2 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse403_split-verse255.nii.gz
sub-verse407_split-verse215,8,49421,8,0,1,0.125,1.0,1,0.8,1.0,1.0,1.0,0.875,0.9575,1 2 3 4 5 6 7 8,pseudo_masks/sub-verse407_split-verse215.nii.gz
sub-verse152,8,314783,8,0,0,0.0,0.926901,9,0.8,1.0,1.0,0.926901,1.0,0.95538,17 18 19 20 21 22 23 24,pseudo_masks/sub-verse152.nii.gz
sub-verse406_split-verse214,11,75205,9,1,2,0.181818,0.954545,3,1.0,1.0,0.9,0.954545,0.818182,0.952727,1 2 3 4 5 6 7 8 9 11 12,pseudo_masks/sub-verse406_split-verse214.nii.gz
sub-verse134,8,267224,8,0,1,0.125,0.963159,6,0.8,1.0,1.0,0.963159,0.875,0.950132,17 18 19 20 21 22 23 24,pseudo_masks/sub-verse134.nii.gz
sub-verse075,14,310604,11,2,4,0.285714,0.951818,6,1.0,1.0,0.846154,0.951818,0.714286,0.931023,2 6 7 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse075.nii.gz
sub-verse056,7,205463,7,0,0,0.0,0.999917,8,0.7,0.875,1.0,0.999917,1.0,0.911233,18 19 20 21 22 23 24,pseudo_masks/sub-verse056.nii.gz
sub-verse014,7,152440,7,0,0,0.0,0.994329,3,0.7,0.875,1.0,0.994329,1.0,0.910116,18 19 20 21 22 23 24,pseudo_masks/sub-verse014.nii.gz
sub-verse008,7,182751,7,0,0,0.0,0.983399,7,0.7,0.875,1.0,0.983399,1.0,0.90793,18 19 20 21 22 23 24,pseudo_masks/sub-verse008.nii.gz
sub-verse137,7,292178,7,0,0,0.0,0.940754,23,0.7,0.875,1.0,0.940754,1.0,0.899401,18 19 20 21 22 23 24,pseudo_masks/sub-verse137.nii.gz
sub-verse015,7,138022,7,0,1,0.142857,0.938615,8,0.7,0.875,1.0,0.938615,0.857143,0.884687,18 19 20 21 22 23 24,pseudo_masks/sub-verse015.nii.gz
sub-verse102,7,337773,7,0,2,0.285714,0.92937,7,0.7,0.875,1.0,0.92937,0.714286,0.868553,18 19 20 21 22 23 24,pseudo_masks/sub-verse102.nii.gz
sub-verse063,6,377495,6,0,0,0.0,0.99279,5,0.6,0.75,1.0,0.99279,1.0,0.851058,19 20 21 22 23 24,pseudo_masks/sub-verse063.nii.gz
sub-verse113,6,220194,6,0,0,0.0,0.957894,7,0.6,0.75,1.0,0.957894,1.0,0.844079,20 21 22 23 24 25,pseudo_masks/sub-verse113.nii.gz
sub-verse072,8,272123,6,1,1,0.125,0.978489,7,0.8,0.75,0.857143,0.978489,0.875,0.837126,16 17 19 20 21 22 23 24,pseudo_masks/sub-verse072.nii.gz
sub-verse076,6,145288,6,0,1,0.166667,0.978982,4,0.6,0.75,1.0,0.978982,0.833333,0.83163,19 20 21 22 23 24,pseudo_masks/sub-verse076.nii.gz
sub-verse031,5,121538,5,0,0,0.0,1.0,1,0.5,0.625,1.0,1.0,1.0,0.79375,20 21 22 23 24,pseudo_masks/sub-verse031.nii.gz
sub-verse139,5,130902,5,0,0,0.0,1.0,1,0.5,0.625,1.0,1.0,1.0,0.79375,20 21 22 23 24,pseudo_masks/sub-verse139.nii.gz
sub-verse065,5,110349,5,0,1,0.2,0.999665,2,0.5,0.625,1.0,0.999665,0.8,0.773683,20 21 22 23 24,pseudo_masks/sub-verse065.nii.gz
sub-verse005,6,311976,5,1,1,0.166667,1.0,1,0.6,0.625,0.8,1.0,0.833333,0.752083,17 20 21 22 23 24,pseudo_masks/sub-verse005.nii.gz
sub-verse405_split-verse259,6,158929,5,1,1,0.166667,0.944444,2,0.6,0.625,0.8,0.944444,0.833333,0.740972,18 20 21 22 23 24,pseudo_masks/sub-verse405_split-verse259.nii.gz
sub-verse036,4,146211,4,0,0,0.0,1.0,1,0.4,0.5,1.0,1.0,1.0,0.735,21 22 23 24,pseudo_masks/sub-verse036.nii.gz
sub-verse146,4,158220,4,0,1,0.25,0.997854,5,0.4,0.5,1.0,0.997854,0.75,0.709571,21 22 23 24,pseudo_masks/sub-verse146.nii.gz
