case_id,num_labels,total_foreground_voxels,longest_run,gap_count,tiny_labels,tiny_fraction,mean_largest_cc_ratio,max_components_per_label,coverage_score,run_score,continuity_score,component_score,size_score,recomputed_score,predicted_labels,binary_dice,macro_label_dice,pred_label_count,gt_label_count,gt_labels,historical_score,score_abs_difference,confidence,kept_at_0p80
sub-verse403_split-verse255,21,497045,19,2,2,0.09523809523809523,0.9409725699445666,16,1.0,1.0,0.9,0.9409725699445666,0.9047619047619048,0.9586707044651038,2 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9647692116697704,0.6176132903457767,21,19,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.958671,2.955348962219162e-07,0.958671,1
sub-verse111,8,318780,8,0,0,0.0,0.9437437220579088,5,0.8,1.0,1.0,0.9437437220579088,1.0,0.9587487444115816,17 18 19 20 21 22 23 24,0.9627206470507628,0.8494322109446348,8,7,18 19 20 21 22 23 24,0.958749,2.5558841831863077e-07,0.958749,1
sub-verse411_split-verse232,9,85968,9,0,1,0.1111111111111111,0.9339810616873491,5,0.9,1.0,1.0,0.9339810616873491,0.8888888888888888,0.9606851012263588,1 2 3 4 5 6 7 8 9,0.9494264558087955,0.8367963672807253,9,8,1 2 3 4 5 6 7 8,0.960685,1.012263587396589e-07,0.960685,1
sub-verse107,8,321930,8,0,0,0.0,0.9857583339173737,9,0.8,1.0,1.0,0.9857583339173737,1.0,0.9671516667834746,17 18 19 20 21 22 23 24,0.9625771471781468,0.8461713894364955,8,7,18 19 20 21 22 23 24,0.967152,3.3321652537221524e-07,0.967152,1
sub-verse402_split-verse202,8,81213,8,0,0,0.0,1.0,1,0.8,1.0,1.0,1.0,1.0,0.9699999999999999,1 2 3 4 5 6 7 8,0.9646278194105454,0.9641870182307795,8,8,1 2 3 4 5 6 7 8,0.97,1.1102230246251565e-16,0.97,1
sub-verse061,9,198653,9,0,1,0.1111111111111111,0.9907407407407407,2,0.9,1.0,1.0,0.9907407407407407,0.8888888888888888,0.9720370370370371,16 17 18 19 20 21 22 23 24,0.9676023281774053,0.8555584681878873,9,8,17 18 19 20 21 22 23 24,0.972037,3.7037037103893056e-08,0.972037,1
sub-verse415_split-verse243,9,79368,9,0,1,0.1111111111111111,0.9934640522875817,2,0.9,1.0,1.0,0.9934640522875817,0.8888888888888888,0.9725816993464053,1 2 3 4 5 6 7 8 9,0.9653547881880415,0.8584428441184098,9,8,1 2 3 4 5 6 7 8,0.972582,3.006535946870059e-07,0.972582,1
sub-verse405_split-verse258,17,216739,17,0,2,0.11764705882352941,0.9243589713730315,15,1.0,1.0,1.0,0.9243589713730315,0.8823529411764706,0.9731070883922533,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.9705662410530569,0.801222097088553,17,14,6 7 8 9 10 11 12 13 14 15 16 17 18 19,0.973107,8.839225329460021e-08,0.973107,1
sub-verse410_split-verse227,9,96525,9,0,1,0.1111111111111111,0.9998892857192101,4,0.9,1.0,1.0,0.9998892857192101,0.8888888888888888,0.9738667460327309,1 2 3 4 5 6 7 8 9,0.9585543115301512,0.8466088481018743,9,8,1 2 3 4 5 6 7 8,0.973867,2.539672691037609e-07,0.973867,1
sub-verse034,10,156811,10,0,2,0.2,0.9714013956693487,6,1.0,1.0,1.0,0.9714013956693487,0.8,0.9742802791338698,15 16 17 18 19 20 21 22 23 24,0.9743000478243147,0.7784480990720353,10,8,17 18 19 20 21 22 23 24,0.97428,2.791338697960555e-07,0.97428,1
sub-verse411_split-verse270,22,508318,20,2,3,0.13636363636363635,0.9980893894347951,3,1.0,1.0,0.9047619047619048,0.9980893894347951,0.8636363636363636,0.9669338952029765,1 2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9645656433703462,0.7870977732879848,22,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.976458,0.009524104797023591,0.976458,1
sub-verse207,9,51797,9,0,0,0.0,0.9605547836600904,9,0.9,1.0,1.0,0.9605547836600904,1.0,0.9771109567320181,1 2 3 4 5 6 7 8 9,0.927545075753964,0.7782043919766787,9,8,1 2 3 4 5 6 7 8,0.977111,4.326798186404801e-08,0.977111,1
sub-verse145,20,607934,19,3,2,0.1,0.9999714599333773,4,1.0,1.0,0.8421052631578947,0.9999714599333773,0.9,0.9584153446182544,2 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9635189666427098,0.8223075044709625,20,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.979468,0.02105265538174561,0.979468,1
sub-verse043,18,311115,18,0,2,0.1111111111111111,0.9629533038348921,5,1.0,1.0,1.0,0.9629533038348921,0.8888888888888888,0.9814795496558673,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9508578620269921,0.8392680662587396,18,16,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.98148,4.503441327630142e-07,0.98148,1
sub-verse409_split-verse266,20,744246,20,0,2,0.1,0.9693262065330485,15,1.0,1.0,1.0,0.9693262065330485,0.9,0.9838652413066097,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.953277701043072,0.8072394607149235,20,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.983865,2.413066096940142e-07,0.983865,1
sub-verse133,11,405782,11,0,1,0.09090909090909091,0.966599537201346,2,1.0,1.0,1.0,0.966599537201346,0.9090909090909091,0.9842289983493601,14 15 16 17 18 19 20 21 22 23 24,0.9654565776844557,0.796429364299637,11,9,16 17 18 19 20 21 22 23 24,0.984229,1.6506399580507036e-09,0.984229,1
sub-verse413_split-verse239,13,168601,13,0,1,0.07692307692307693,0.9614917795292901,10,1.0,1.0,1.0,0.9614917795292901,0.9230769230769231,0.9846060482135502,1 2 3 4 5 6 7 8 9 10 11 12 13,0.9085510392494448,0.8031872016680264,13,11,1 2 3 4 5 6 7 8 9 10 11,0.984606,4.8213550263298544e-08,0.984606,1
sub-verse408_split-verse223,9,129664,9,0,0,0.0,0.9989715264049206,7,0.9,1.0,1.0,0.9989715264049206,1.0,0.9847943052809841,1 2 3 4 5 6 7 8 9,0.9086480391330692,0.8290747504596262,9,8,1 2 3 4 5 6 7 8,0.984794,3.0528098415860683e-07,0.984794,1
sub-verse100,12,517192,12,0,1,0.08333333333333333,0.9661183621960262,9,1.0,1.0,1.0,0.9661183621960262,0.9166666666666666,0.9848903391058719,14 15 16 17 18 19 20 21 22 23 24 25,0.9477075158109164,0.6460325748219772,12,8,16 17 18 19 20 21 22 23,0.98489,3.391058718271722e-07,0.98489,1
sub-verse409_split-verse226,9,170169,9,0,0,0.0,0.9998597596734751,5,0.9,1.0,1.0,0.9998597596734751,1.0,0.984971951934695,1 2 3 4 5 6 7 8 9,0.954305028008687,0.9378723316083308,9,9,1 2 3 4 5 6 7 8 9,0.984972,4.806530495837791e-08,0.984972,1
sub-verse401_split-verse201,9,134175,9,0,0,0.0,0.9999355668339468,3,0.9,1.0,1.0,0.9999355668339468,1.0,0.9849871133667895,1 2 3 4 5 6 7 8 9,0.9554450488936355,0.9467310803599562,9,9,1 2 3 4 5 6 7 8 9,0.984987,1.1336678951145984e-07,0.984987,1
sub-verse403_split-verse208,9,105883,9,0,0,0.0,0.9999516943285269,4,0.9,1.0,1.0,0.9999516943285269,1.0,0.9849903388657054,1 2 3 4 5 6 7 8 9,0.9531883211128495,0.9508059230051921,9,9,1 2 3 4 5 6 7 8 9,0.98499,3.3886570538488314e-07,0.98499,1
sub-verse405_split-verse212,9,76526,9,0,0,0.0,0.999952968988465,3,0.9,1.0,1.0,0.999952968988465,1.0,0.984990593797693,1 2 3 4 5 6 7 8 9,0.9612901975227277,0.9600941296149854,9,9,1 2 3 4 5 6 7 8 9,0.984991,4.062023069018039e-07,0.984991,1
sub-verse068,9,155027,9,0,0,0.0,0.9999866621317915,2,0.9,1.0,1.0,0.9999866621317915,1.0,0.9849973324263583,16 17 18 19 20 21 22 23 24,0.9640285440464165,0.9608643329279649,9,9,16 17 18 19 20 21 22 23 24,0.984997,3.3242635832930745e-07,0.984997,1
sub-verse004,9,201496,9,0,0,0.0,1.0,1,0.9,1.0,1.0,1.0,1.0,0.985,16 17 18 19 20 21 22 23 24,0.9743171102172482,0.9718434850600818,9,9,16 17 18 19 20 21 22 23 24,0.985,0.0,0.985,1
sub-verse151,18,828763,18,0,1,0.05555555555555555,0.9534066886697309,24,1.0,1.0,1.0,0.9534066886697309,0.9444444444444444,0.9851257821783906,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9676950863015994,0.9116874559833802,18,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.985126,2.178216093051688e-07,0.985126,1
sub-verse082,19,956045,19,0,1,0.05263157894736842,0.9520240378188972,11,1.0,1.0,1.0,0.9520240378188972,0.9473684210526316,0.9851416496690426,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.9659809708003464,0.8629750523529468,19,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.985142,3.5033095735492736e-07,0.985142,1
sub-verse135,20,614485,20,0,2,0.1,0.9810601149551091,3,1.0,1.0,1.0,0.9810601149551091,0.9,0.9862120229910217,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.9667423505773449,0.8636900468392656,20,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.986212,2.299102175307155e-08,0.986212,1
sub-verse410_split-verse267,18,498609,18,0,0,0.0,0.9364767961080239,28,1.0,1.0,1.0,0.9364767961080239,1.0,0.9872953592216047,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9494330155544406,0.6738117879955499,18,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.987295,3.592216046843788e-07,0.987295,1
sub-verse064,19,302857,19,0,1,0.05263157894736842,0.9693207242604222,3,1.0,1.0,1.0,0.9693207242604222,0.9473684210526316,0.9886009869573475,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9381588343935974,0.7999402769781191,19,16,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.988601,1.3042652402539545e-08,0.988601,1
sub-verse407_split-verse262,21,312463,21,0,1,0.047619047619047616,0.9735164396888569,12,1.0,1.0,1.0,0.9735164396888569,0.9523809523809523,0.9899413831758666,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9787901383042694,0.9288907442061309,21,20,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.989941,3.831758665917562e-07,0.989941,1
sub-verse257,10,205665,10,0,1,0.1,0.999930925083438,3,1.0,1.0,1.0,0.999930925083438,0.9,0.9899861850166876,15 16 17 18 19 20 21 22 23 24,0.9654579039471126,0.7816059429766314,10,8,17 18 19 20 21 22 23 24,0.989986,1.8501668752612943e-07,0.989986,1
sub-verse127,19,605264,19,0,1,0.05263157894736842,0.9782178474025277,22,1.0,1.0,1.0,0.9782178474025277,0.9473684210526316,0.9903804115857686,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.964585545861508,0.8572523380034434,19,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.99038,4.115857685782487e-07,0.99038,1
sub-verse009,18,281570,18,0,0,0.0,0.9632031519921621,9,1.0,1.0,1.0,0.9632031519921621,1.0,0.9926406303984324,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9454907362153997,0.8412705872939569,18,16,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.992641,3.696015675735964e-07,0.992641,1
sub-verse413_split-verse272,18,504450,18,0,0,0.0,0.9671089273102216,17,1.0,1.0,1.0,0.9671089273102216,1.0,0.9934217854620443,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9767812702904858,0.921410522038086,18,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.993422,2.1453795573389556e-07,0.993422,1
sub-verse254,20,371418,20,0,1,0.05,0.9964551291286078,5,1.0,1.0,1.0,0.9964551291286078,0.95,0.9942910258257215,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9735793139216122,0.8763827522247729,20,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.994291,2.5825721450267736e-08,0.994291,1
sub-verse141,19,260691,19,0,1,0.05263157894736842,0.9992661917764701,2,1.0,1.0,1.0,0.9992661917764701,0.9473684210526316,0.9945900804605572,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9633312044373098,0.9082856038181584,19,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.99459,8.046055721688816e-08,0.99459,1
sub-verse096,19,571919,19,0,1,0.05263157894736842,0.9996695663619216,4,1.0,1.0,1.0,0.9996695663619216,0.9473684210526316,0.9946707553776475,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9704277493157415,0.9154333135926356,19,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.994671,2.446223524854574e-07,0.994671,1
sub-verse112,18,497805,18,0,0,0.0,0.975075593907986,8,1.0,1.0,1.0,0.975075593907986,1.0,0.9950151187815971,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9773006208071685,0.9210520668398247,18,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.995015,1.1878159711375957e-07,0.995015,1
sub-verse402_split-verse251,20,467525,20,0,0,0.0,0.9810423656299909,20,1.0,1.0,1.0,0.9810423656299909,1.0,0.9962084731259981,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9789642303337271,0.9281005581105835,20,19,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.996208,4.731259981571867e-07,0.996208,1
sub-verse091,18,655288,18,0,0,0.0,0.9965480425712249,19,1.0,1.0,1.0,0.9965480425712249,1.0,0.9993096085142449,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.971700953106078,0.9169388526090663,18,17,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.99931,3.9148575514680317e-07,0.99931,1
sub-verse415_split-verse275,20,423450,20,0,0,0.0,0.9971715672949136,10,1.0,1.0,1.0,0.9971715672949136,1.0,0.9994343134589827,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9786376622962476,0.9296785694999116,20,19,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.999434,3.1345898265922045e-07,0.999434,1
sub-verse401_split-verse253,17,611026,17,0,0,0.0,0.9979788568325467,15,1.0,1.0,1.0,0.9979788568325467,1.0,0.9995957713665092,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9618399898253017,0.8518662312602603,17,15,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.999596,2.2863349080637363e-07,0.999596,1
sub-verse051,10,375453,10,0,0,0.0,0.99818172833534,4,1.0,1.0,1.0,0.99818172833534,1.0,0.9996363456670679,15 16 17 18 19 20 21 22 23 24,0.9603709078654861,0.7869603054142577,10,8,17 18 19 20 21 22 23 24,0.999636,3.456670679691243e-07,0.999636,1
sub-verse406_split-verse261,19,391931,19,0,0,0.0,0.9997365018922219,8,1.0,1.0,1.0,0.9997365018922219,1.0,0.9999473003784444,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.9784787347290516,0.9725996520869629,19,19,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,0.999947,3.003784443400548e-07,0.999947,1
sub-verse033,18,279480,18,0,0,0.0,0.9998792668819737,3,1.0,1.0,1.0,0.9998792668819737,1.0,0.9999758533763947,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9607210197115993,0.9575025225248829,18,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.999976,1.466236052571901e-07,0.999976,1
sub-verse122,18,664458,18,0,0,0.0,0.9999370884025885,6,1.0,1.0,1.0,0.9999370884025885,1.0,0.9999874176805177,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9541455855904933,0.9495858040441834,18,18,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.999987,4.176805177280585e-07,0.999987,1
sub-verse104,17,648149,17,0,0,0.0,0.9999507070030065,4,1.0,1.0,1.0,0.9999507070030065,1.0,0.9999901414006013,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.9745027586464573,0.9208960392331936,17,16,9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,0.99999,1.4140060122791454e-07,0.99999,1
